time, ema3ema30, ema15ema60, hpr200, lpr200, sma3sma15, vma3vma15, atr3atr15, adx3, adx15, stochk3, stochk15, stochk3stochk15, mom3, mom15, mom3mom15, rsi3, rsi15, rsi3rsi15, macd
971136000, 1.004198645844683, 1.004198645844683, 0.8437499999999999, 0.9739708748996675, 1.00782022674158, 0.699675324675348, 0.9622370936902519, 57.8425035100086, 57.8425035100086, 59.66830003769319, 87.92461347477695, 0.6786302228648444, 100.0868220221506, 101.209219282584, 0.988910128263122, 54.85129306925317, 54.85129306925317, 1, 0.002661759368161043
971222400, 1.005100103418537, 1.005100103418537, 0.8373645510835913, 0.9813980358174466, 1.008337563631936, 0.7411539687599863, 0.717624415727255, 84.62230026901153, 84.62230026901153, 77.99495586380796, 91.66069295101529, 0.8509095158760093, 100.3001840544568, 100.5138151875572, 0.9978746092494668, 67.03623051717119, 67.03623051717119, 1, 0.002437813007587275
971308800, 1.005514758594153, 1.005514758594153, 0.8349458204334365, 0.9842410196987255, 1.007677876853305, 0.819778789850386, 0.6630792493106982, 77.54932472868255, 77.54932472868255, 86.46423057128096, 93.00627641859839, 0.9296601681173291, 100.5731245522465, 100.6400737364944, 0.9993347661447141, 89.93377164895503, 89.93377164895503, 1, 0.001967862372708407
971395200, 1.004093885492067, 1.004093885492067, 0.829140866873065, 0.9911318553092183, 1.006189417536329, 1.174615687820311, 0.815433212996408, 64.34571477286173, 64.34571477286173, 87.47925065212149, 86.37151620215985, 1.012825228717404, 100.8320397848909, 100.2479465781178, 1.005826485496318, 81.07398886079957, 81.07398886079957, 1, 0.001083847382405301
971654400, 1.003494055421979, 1.003494055421979, 0.8230456656346749, 0.9984718467144704, 1.003585695827359, 1.104906262465146, 1.04896025269809, 52.08888934779818, 52.08888934779818, 69.01338621715378, 69.84583224457775, 0.9880816649945696, 100.3974364614956, 100.1265147027636, 1.002705794359629, 77.30631591745446, 77.30631591745446, 1, 0.0004651395601287245
971740800, 1.00253717738817, 1.00253717738817, 0.8267221362229102, 0.9940315974253949, 1.002342807468372, 1.107128634010403, 1.069605173587479, 40.65285130716698, 40.65285130716698, 61.40763997906836, 60.95673137926638, 1.00739719124696, 100.249168217861, 99.87806747906338, 1.003715537836927, 74.47568008386843, 74.47568008386843, 1, -0.0001826677266330012
971827200, 1.000750484468556, 1.000750484468556, 0.8143189755529686, 1.011913271384322, 1.001427814752556, 1.292071802543061, 0.7305825242718423, 59.90699037401672, 59.90699037401672, 66.50831353919224, 56.64255805100845, 1.174175669808192, 99.70513375338328, 100.3395560673502, 0.9936772461546362, 38.0148895280063, 38.0148895280063, 1, -0.0008826302238944539
971913600, 1.001993763182146, 1.001993763182146, 0.8223196881091618, 0.9949034016830627, 1.002638671136991, 1.176923076923127, 0.7621798091411276, 91.84336149383225, 91.84336149383225, 86.67823822955073, 61.74343357441908, 1.403845449007591, 100.3539549498503, 100.5685714917811, 0.997865968077826, 74.37096393007454, 74.37096393007454, 1, -0.0008845077353241138
972000000, 1.001759916151197, 1.001759916151197, 0.828661355365398, 0.9963204747774481, 1.001838550731748, 1.360103626943062, 1.108411528150132, 85.79548173539962, 85.79548173539962, 90.24914089347033, 55.64014718944258, 1.622014776240466, 100.8313074063948, 100.6936552680904, 1.001367038846072, 84.04808249790843, 84.04808249790843, 1, -0.001325093101035124
972259200, 1.000468223789444, 1.000468223789444, 0.8216779777712207, 1.004788125448887, 0.9995413766548504, 0.89902402402406, 1.171252566735117, 78.40335294947212, 78.40335294947212, 83.50186269292119, 41.36530897094242, 2.018644723567232, 100.8544289751291, 100.6913003980886, 1.001620086108686, 81.63905469081909, 81.63905469081909, 1, -0.001949620704527533
