time, bids, asks, maxclose, minclose, uppertarget, lowertarget
971136000, 0.8721, 0.8725999999999999, 0.8721, 0.8507, -0.05733287467032965, -2.511179910560706
971222400, 0.8655000000000001, 0.866, 0.8655000000000001, 0.8394, -0.05777007510109126, -3.073367995378389
971308800, 0.863, 0.8634999999999999, 0.863, 0.8394, -0.05793742757820915, -2.792584009269977
971395200, 0.857, 0.8574999999999999, 0.857, 0.8394, -0.05834305717618961, -2.112018669778284
971654400, 0.8507, 0.8512, 0.8545, 0.8354, 0.3879158340190526, -1.857293993182077
971740800, 0.8545, 0.855, 0.8545, 0.8354, -0.05851375073141543, -2.293739028671732
971827200, 0.8394, 0.8399, 0.8437, 0.8273, 0.4527043126042442, -1.501072194424582
971913600, 0.8437, 0.8442, 0.8437, 0.8273, -0.05926277112717138, -2.003081664098603
972000000, 0.8425, 0.843, 0.8425, 0.8273, -0.05934718100889554, -1.863501483679518
972259200, 0.8354, 0.8359, 0.8401, 0.8273, 0.5027531721331077, -1.029446971510647
972345600, 0.8363, 0.8368, 0.8491, 0.8273, 1.47076407987564, -1.135955996651914
972432000, 0.8273, 0.8278, 0.8612, 0.8273, 4.037229541883233, -0.06043756799225733
972518400, 0.8301, 0.8305999999999999, 0.8612, 0.8301, 3.68630285507771, -0.06023370678230875
972604800, 0.8393000000000001, 0.8398, 0.8677, 0.8393000000000001, 3.324198737042778, -0.05957345406886035
972864000, 0.8401, 0.8405999999999999, 0.8677, 0.8401, 3.225806451612919, -0.05951672419949351
972950400, 0.8491, 0.8495999999999999, 0.8677, 0.8491, 2.131668825815583, -0.05888587916616947
973036800, 0.8612, 0.8616999999999999, 0.8677, 0.8557, 0.6967022758941147, -0.696702275894089
973123200, 0.8585, 0.859, 0.8677, 0.8557, 1.013395457192783, -0.3843913803144985
973209600, 0.8677, 0.8682, 0.8677, 0.8557, -0.05762360262762993, -1.440590065690902
973468800, 0.8635000000000001, 0.864, 0.8662, 0.8557, 0.2547770700636919, -0.9612044006948435
973555200, 0.8608, 0.8613, 0.8662, 0.8557, 0.5692379182156151, -0.6505576208178366
973641600, 0.8557, 0.8562, 0.8662, 0.8557, 1.168633867009467, -0.05843169335046686
973728000, 0.8662, 0.8666999999999999, 0.8662, 0.8541, -0.05772338951742612, -1.454629415839292
973814400, 0.8611, 0.8615999999999999, 0.8611, 0.8485, -0.05806526535825629, -1.52130995238647
974073600, 0.8579, 0.8583999999999999, 0.8579, 0.8485, -0.05828185103158235, -1.153980650425447
974160000, 0.8567, 0.8572, 0.8579, 0.844, 0.08170888292284743, -1.540796077973618
974246400, 0.8579, 0.8583999999999999, 0.8579, 0.844, -0.05828185103158235, -1.678517309709753
974332800, 0.8541, 0.8545999999999999, 0.8541, 0.84, -0.05854115443155895, -1.709401709401703
