time, signal, bids, asks, maxclose120h, target
2013.10.29 00:00:00, 0, 1.37377, 1.37393, 1.37321, -0.05241051995602117
2013.10.28 00:00:00, 0, 1.37807, 1.37823, 1.37377, -0.3236410342000138
2013.10.25 00:00:00, 0, 1.3802, 1.38045, 1.37807, -0.1724387769888297
2013.10.24 00:00:00, 0, 1.37916, 1.37937, 1.3802, 0.06018155979000887
2013.10.23 00:00:00, 0, 1.3788, 1.37896, 1.3802, 0.0899332753118587
2013.10.22 00:00:00, 0, 1.37847, 1.37899, 1.3802, 0.08777847903833316
2013.10.10 00:00:00, 0, 1.35397, 1.35423, 1.35566, 0.1056153385968701
2013.10.09 00:00:00, 0, 1.3498, 1.35, 1.35566, 0.4193213809453086
2013.10.08 00:00:00, 0, 1.35645, 1.35665, 1.35566, -0.07298462899480604
2013.10.07 00:00:00, 0, 1.35653, 1.35673, 1.35645, -0.0206408999432418
2013.10.04 00:00:00, 0, 1.35565, 1.35604, 1.35653, 0.03614502268285336
2013.10.03 00:00:00, 0, 1.36277, 1.36298, 1.35653, -0.4733007037137644
2013.10.02 00:00:00, 0, 1.36035, 1.36065, 1.36277, 0.1558422464806941
2013.09.25 00:00:00, 0, 1.352, 1.35229, 1.35343, 0.08431952662722936
2013.09.24 00:00:00, 0, 1.34715, 1.34749, 1.35343, 0.440930854025152
2013.09.23 00:00:00, 0, 1.34933, 1.34961, 1.35216, 0.1889826802931864
2013.09.20 00:00:00, 0, 1.35217, 1.35281, 1.352, -0.05990371033229545
2013.09.19 00:00:00, 0, 1.35359, 1.35384, 1.35217, -0.1233756159546141
2013.09.18 00:00:00, 0, 1.35265, 1.35301, 1.35359, 0.04287879347946807
2013.09.11 00:00:00, 0, 1.33181, 1.33204, 1.33508, 0.2282607879502447
2013.09.10 00:00:00, 0, 1.3268, 1.32704, 1.33312, 0.4582454024721198
2013.09.09 00:00:00, 0, 1.3257, 1.32588, 1.33181, 0.4473108546428296
2013.09.02 00:00:00, 0, 1.31918, 1.31962, 1.31894, -0.05154717324398595
2013.08.30 00:00:00, 0, 1.32195, 1.32244, 1.31918, -0.2466053935474141
2013.08.29 00:00:00, 0, 1.32448, 1.3247, 1.32195, -0.2076286542643174
2013.08.28 00:00:00, 0, 1.33335, 1.33354, 1.32448, -0.6794915063561756
2013.08.27 00:00:00, 0, 1.33883, 1.33907, 1.33335, -0.427238708424516
2013.08.26 00:00:00, 0, 1.33733, 1.33754, 1.33883, 0.09646085857640158
2013.08.23 00:00:00, 0, 1.33788, 1.33837, 1.33883, 0.03438275480610405
2013.08.22 00:00:00, 0, 1.33472, 1.33507, 1.33883, 0.2817070246943169
2013.08.21 00:00:00, 0, 1.3336, 1.33402, 1.33883, 0.3606778644270965
2013.08.20 00:00:00, 0, 1.34191, 1.34211, 1.33788, -0.3152223323471735
2013.08.12 00:00:00, 0, 1.33111, 1.33156, 1.33479, 0.2426546265898269
2013.08.09 00:00:00, 0, 1.33387, 1.33431, 1.33479, 0.03598551582986452
2013.08.08 00:00:00, 0, 1.33785, 1.33807, 1.33387, -0.3139365399708474
2013.08.07 00:00:00, 0, 1.33303, 1.33327, 1.33785, 0.3435781640323195
2013.07.31 00:00:00, 0, 1.32759, 1.32792, 1.32937, 0.109220467162298
2013.07.30 00:00:00, 0, 1.32588, 1.32611, 1.32798, 0.1410384046821762
2013.07.29 00:00:00, 0, 1.32498, 1.32532, 1.32798, 0.2007577472867428
2013.07.26 00:00:00, 0, 1.32765, 1.3281, 1.32759, -0.0384137385606154
2013.07.25 00:00:00, 0, 1.32819, 1.3284, 1.32765, -0.05646782463352596
2013.07.16 00:00:00, 0, 1.31411, 1.31451, 1.31992, 0.4116854753407354
2013.07.11 00:00:00, 0, 1.30925, 1.3095, 1.31411, 0.3521099866335521
2013.07.10 00:00:00, 0, 1.30962, 1.31044, 1.31411, 0.2802339609963073
2013.07.03 00:00:00, 0, 1.3002, 1.3005, 1.28983, -0.8206429780033808
2013.07.02 00:00:00, 0, 1.29717, 1.29736, 1.3002, 0.2189381499726463
2013.07.01 00:00:00, 0, 1.30604, 1.30629, 1.3002, -0.4662950598756492
2013.06.28 00:00:00, 0, 1.30075, 1.30121, 1.30604, 0.3713242360176736
2013.06.27 00:00:00, 0, 1.30695, 1.30722, 1.30604, -0.09028654500938681
2013.06.26 00:00:00, 0, 1.30334, 1.30362, 1.30695, 0.2554974143354808
2013.06.25 00:00:00, 0, 1.30655, 1.30695, 1.30695, 0
2013.06.24 00:00:00, 0, 1.31218, 1.31321, 1.30695, -0.4770686948437069
2013.06.23 00:00:00, 0, 1.30903, 1.30924, 1.31218, 0.2245937831829802
2013.06.21 00:00:00, 0, 1.31209, 1.31245, 1.31218, -0.02057785670188558
2013.06.20 00:00:00, 0, 1.32416, 1.32446, 1.31218, -0.9273803769937052
2013.06.19 00:00:00, 0, 1.32674, 1.32712, 1.32416, -0.2231032455492465
2013.06.18 00:00:00, 0, 1.33895, 1.33953, 1.32674, -0.9552261100115821
2013.06.17 00:00:00, 0, 1.33541, 1.33564, 1.33895, 0.2478639518949346
2013.06.16 00:00:00, 0, 1.33256, 1.33276, 1.33895, 0.4645194212643439
2013.06.14 00:00:00, 0, 1.33445, 1.33498, 1.33895, 0.2975008430439695
2013.06.13 00:00:00, 0, 1.33505, 1.33534, 1.33895, 0.2704018576083377
2013.06.12 00:00:00, 0, 1.33604, 1.33627, 1.33541, -0.06436933025957926
2013.06.11 00:00:00, 0, 1.33099, 1.33125, 1.33604, 0.3598824934823173
2013.06.06 00:00:00, 0, 1.32534, 1.32777, 1.33099, 0.2429565243635596
2013.05.30 00:00:00, 0, 1.30371, 1.30395, 1.30834, 0.3367313282862075
2013.05.24 00:00:00, 0, 1.29278, 1.29369, 1.29553, 0.1423289345441656
2013.05.23 00:00:00, 0, 1.29188, 1.29229, 1.29278, 0.03792921943215326
2013.05.21 00:00:00, 0, 1.29274, 1.29301, 1.29278, -0.01779166731128862
2013.05.20 00:00:00, 0, 1.28902, 1.28972, 1.29278, 0.2373896448464773
2013.05.16 00:00:00, 0, 1.28602, 1.28677, 1.29274, 0.4642229514315509
2013.05.15 00:00:00, 0, 1.28737, 1.28822, 1.28902, 0.06214219688200842
2013.05.14 00:00:00, 0, 1.29289, 1.29387, 1.28737, -0.5027496538761789
2013.05.13 00:00:00, 0, 1.30075, 1.30133, 1.29289, -0.6488564289832961
2013.05.12 00:00:00, 0, 1.29725, 1.29749, 1.30075, 0.2513008286760486
2013.05.10 00:00:00, 0, 1.29853, 1.29932, 1.30075, 0.1101245254249068
2013.05.09 00:00:00, 0, 1.30411, 1.3046, 1.30075, -0.2952204952036355
2013.05.08 00:00:00, 0, 1.31624, 1.31669, 1.30411, -0.9557527502583142
2013.05.05 00:00:00, 0, 1.31245, 1.31268, 1.31624, 0.2712484285115629
2013.05.03 00:00:00, 0, 1.31131, 1.3122, 1.31624, 0.3080888577071816
2013.05.02 00:00:00, 0, 1.30738, 1.30848, 1.31245, 0.3036607566277616
2013.05.01 00:00:00, 0, 1.31743, 1.31794, 1.31245, -0.4167204329641631
2013.04.30 00:00:00, 0, 1.31643, 1.31701, 1.31743, 0.03190446890452701
2013.04.24 00:00:00, 0, 1.30476, 1.30546, 1.30877, 0.2536865017321305
2013.04.23 00:00:00, 0, 1.29931, 1.30141, 1.30492, 0.2701433837960244
2013.04.22 00:00:00, 0, 1.30529, 1.30572, 1.30476, -0.07354687464088991
2013.04.21 00:00:00, 0, 1.30762, 1.3079, 1.30529, -0.1995992719597438
2013.04.19 00:00:00, 0, 1.3051, 1.30567, 1.30762, 0.1494138380200842
2013.04.18 00:00:00, 0, 1.3064, 1.30694, 1.30762, 0.05205143906919887
2013.04.17 00:00:00, 0, 1.3044, 1.30485, 1.30762, 0.2123581723397684
2013.04.16 00:00:00, 0, 1.31741, 1.31793, 1.30762, -0.7825961545760273
2013.04.12 00:00:00, 0, 1.31082, 1.31159, 1.31741, 0.4439968874444955
2013.04.11 00:00:00, 0, 1.31224, 1.31255, 1.31741, 0.3703590806559672
2013.04.10 00:00:00, 0, 1.30567, 1.3064, 1.31224, 0.4472799405669171
2013.04.09 00:00:00, 0, 1.30862, 1.30898, 1.31224, 0.2491173908392247
2013.04.08 00:00:00, 0, 1.3054, 1.30581, 1.31224, 0.4925693274092182
2013.03.29 00:00:00, 0, 1.28148, 1.28236, 1.28658, 0.3293067390829442
2013.03.28 00:00:00, 0, 1.28272, 1.28312, 1.28658, 0.269739303979046
2013.03.26 00:00:00, 0, 1.28441, 1.28516, 1.28272, -0.1899704922882878
2013.03.25 00:00:00, 0, 1.28675, 1.28715, 1.28441, -0.2129395764522996
2013.03.24 00:00:00, 0, 1.30343, 1.3041, 1.28675, -1.331103319702629
2013.03.22 00:00:00, 0, 1.29867, 1.29927, 1.30343, 0.3203277198980621
2013.03.18 00:00:00, 0, 1.29542, 1.29576, 1.29867, 0.2246375692825468
2013.03.17 00:00:00, 0, 1.29027, 1.29043, 1.29542, 0.3867407596859611
2013.03.15 00:00:00, 0, 1.30754, 1.30807, 1.29542, -0.9674656224666036
2013.03.14 00:00:00, 0, 1.30213, 1.30246, 1.30754, 0.3901300177401622
2013.03.12 00:00:00, 0, 1.30394, 1.3042, 1.30754, 0.2561467552188077
2013.03.11 00:00:00, 0, 1.30247, 1.30274, 1.30754, 0.3685305611645501
2013.03.10 00:00:00, 0, 1.30012, 1.30031, 1.30394, 0.2792049964618668
2013.03.08 00:00:00, 0, 1.30042, 1.30176, 1.30394, 0.1676381476753719
2013.03.07 00:00:00, 0, 1.30966, 1.31009, 1.30394, -0.4695875265336117
2013.03.05 00:00:00, 0, 1.30609, 1.30662, 1.30966, 0.2327557825264839
2013.03.04 00:00:00, 0, 1.30291, 1.30342, 1.30966, 0.4789279382305779
2013.03.01 00:00:00, 0, 1.3018, 1.30208, 1.30609, 0.3080350284221729
2013.02.28 00:00:00, 0, 1.30751, 1.30816, 1.30609, -0.1583161887863203
2013.02.27 00:00:00, 0, 1.31427, 1.31463, 1.30751, -0.5417456078279208
2013.02.24 00:00:00, 0, 1.31882, 1.31901, 1.31427, -0.359412201816773
2013.02.22 00:00:00, 0, 1.31907, 1.31949, 1.31882, -0.0507933619898829
2013.02.21 00:00:00, 0, 1.32179, 1.32238, 1.31907, -0.2504179937811715
2013.02.20 00:00:00, 0, 1.32622, 1.32683, 1.32179, -0.3800274464266814
2013.02.19 00:00:00, 0, 1.34122, 1.34184, 1.32622, -1.164611324018445
2013.02.18 00:00:00, 0, 1.33486, 1.33544, 1.34122, 0.4330042101793535
2013.02.15 00:00:00, 0, 1.33585, 1.33624, 1.34122, 0.3727963468952507
2013.02.14 00:00:00, 0, 1.33667, 1.33751, 1.34122, 0.2775554175675449
2013.02.13 00:00:00, 0, 1.3444, 1.34508, 1.33667, -0.6255578696816445
2013.02.12 00:00:00, 0, 1.34432, 1.34498, 1.3444, -0.04314448940728584
2013.02.11 00:00:00, 0, 1.3389, 1.33942, 1.3444, 0.3719471207707809
2013.02.07 00:00:00, 0, 1.34126, 1.3418, 1.34432, 0.1878830353548049
2013.02.06 00:00:00, 0, 1.35086, 1.35138, 1.34126, -0.7491523918096551
2013.02.05 00:00:00, 0, 1.35786, 1.35833, 1.35086, -0.5501303521718062
2013.02.03 00:00:00, 0, 1.36291, 1.36315, 1.35786, -0.3881400826173421
2013.02.01 00:00:00, 0, 1.36391, 1.36442, 1.36291, -0.110711117302454
2013.01.31 00:00:00, 0, 1.36167, 1.36213, 1.36391, 0.1307218342182845
2013.01.30 00:00:00, 0, 1.35706, 1.35759, 1.36391, 0.4657126435087693
2013.01.20 00:00:00, 0, 1.33188, 1.33218, 1.33545, 0.2455176141994854
2013.01.18 00:00:00, 0, 1.33195, 1.33253, 1.33476, 0.1674237020909159
2013.01.17 00:00:00, 0, 1.33804, 1.33852, 1.33476, -0.2810080416131047
2013.01.14 00:00:00, 0, 1.33569, 1.33617, 1.33804, 0.1400025455008135
2013.01.13 00:00:00, 0, 1.3395, 1.33996, 1.33804, -0.1433370660694396
2013.01.11 00:00:00, 0, 1.33416, 1.33462, 1.3395, 0.3657732206032423
2013.01.04 00:00:00, 0, 1.30677, 1.30723, 1.31258, 0.4094063989837682
2013.01.02 00:00:00, 0, 1.31391, 1.31444, 1.31258, -0.1415622074571128
2013.01.01 00:00:00, 0, 1.32713, 1.32802, 1.31391, -1.063196521817762
2012.12.30 00:00:00, 0, 1.32108, 1.32138, 1.32713, 0.435249947013044
2012.12.28 00:00:00, 0, 1.32146, 1.32196, 1.32713, 0.39123393821984
2012.12.27 00:00:00, 0, 1.3242, 1.32456, 1.32713, 0.1940794441927172
2012.12.26 00:00:00, 0, 1.32308, 1.32338, 1.3242, 0.06197660005442172
2012.12.24 00:00:00, 0, 1.3187, 1.319, 1.3242, 0.394327747023591
2012.12.23 00:00:00, 0, 1.31822, 1.31852, 1.3242, 0.4308840709441618
2012.12.21 00:00:00, 0, 1.31867, 1.31898, 1.3242, 0.3958533977416641
2012.12.20 00:00:00, 0, 1.31921, 1.31964, 1.32308, 0.2607621227856148
2012.12.19 00:00:00, 0, 1.32244, 1.32299, 1.31921, -0.2858352741901422
2012.12.18 00:00:00, 0, 1.32508, 1.32534, 1.32244, -0.2188547106589718
2012.12.06 00:00:00, 0, 1.29671, 1.29713, 1.30029, 0.2436936554819373
2012.12.05 00:00:00, 0, 1.30521, 1.3057, 1.29671, -0.688778051041599
2012.12.04 00:00:00, 0, 1.31136, 1.31166, 1.30521, -0.4918557833089363
2012.12.03 00:00:00, 0, 1.30617, 1.30647, 1.31136, 0.3743769953375181
2012.11.26 00:00:00, 0, 1.29838, 1.2988, 1.29919, 0.03003743126050251
2012.11.25 00:00:00, 0, 1.2957, 1.29589, 1.29919, 0.2546885853206823
2012.11.23 00:00:00, 0, 1.29729, 1.29772, 1.29838, 0.05087528617347571
