Open0,High0,Low0,Close0,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4,Open5,High5,Low5,Close5
0,0.00025,-0.00023,0.00023,0.00018,0.00044,-0.00041,0,0.00052,0.00057,-0.00015,0.00018,0.00145,0.00145,0.0002,0.00049,0.00238,0.00239,0.00041,0.00146,0.00447,0.00518,0.00186,0.00238
0,0.00026,-0.00059,-0.00018,0.00034,0.00039,-0.00033,0,0.00127,0.00127,2e-005,0.00031,0.0022,0.00221,0.00023,0.00128,0.00429,0.005,0.00168,0.0022,0.00458,0.0046,0.00318,0.00429
0,5e-005,-0.00067,-0.00034,0.0009300000000000001,0.0009300000000000001,-0.00032,-3e-005,0.00186,0.00187,-0.00011,0.00094,0.00395,0.00466,0.00134,0.00186,0.00424,0.00426,0.00284,0.00395,0.0045,0.00501,0.00371,0.00424
0,0,-0.00125,-0.00096,0.0009300000000000001,0.00094,-0.00104,1e-005,0.00302,0.00373,0.00041,0.0009300000000000001,0.00331,0.00333,0.00191,0.00302,0.00357,0.00408,0.00278,0.00331,0.00319,0.0044,0.00307,0.00361
0,1e-005,-0.00197,-0.00092,0.00209,0.0028,-0.00052,0,0.00238,0.0024,0.00098,0.00209,0.00264,0.00315,0.00185,0.00238,0.00226,0.00347,0.00214,0.00268,0.00219,0.00325,0.0021,0.00227
0,0.00071,-0.00261,-0.00209,0.00029,0.00031,-0.00111,0,0.00055,0.00106,-0.00024,0.00029,0.00017,0.00138,5e-005,0.00059,0.0001,0.00116,1e-005,0.00018,-0.00042,0.00024,-0.00071,0.00011
0,2e-005,-0.0014,-0.00029,0.00026,0.00077,-0.00053,0,-0.00012,0.00109,-0.00024,0.0003,-0.00019,0.00087,-0.00028,-0.00011,-0.00071,-5e-005,-0.001,-0.00018,-0.00159,0.00096,-0.00176,-0.0007
0,0.00051,-0.00079,-0.00026,-0.00038,0.00083,-0.0005,4e-005,-0.00045,0.00061,-0.00054,-0.00037,-0.0009700000000000001,-0.00031,-0.00126,-0.00044,-0.00185,0.0007,-0.00202,-0.00096,-0.00218,-0.00117,-0.00233,-0.00189
0,0.00121,-0.00012,0.00042,-6.999999999999999e-005,0.00099,-0.00016,1e-005,-0.00059,6.999999999999999e-005,-0.00088,-6e-005,-0.00147,0.00108,-0.00164,-0.00058,-0.0018,-0.00079,-0.00195,-0.00151,-0.00155,-0.00135,-0.00238,-0.00182
0,0.00106,-9.000000000000001e-005,8.000000000000001e-005,-0.00052,0.00014,-0.00081,1e-005,-0.0014,0.00115,-0.00157,-0.00051,-0.00173,-0.0007200000000000001,-0.00188,-0.00144,-0.00148,-0.00128,-0.00231,-0.00175,-0.00077,-0.00041,-0.00156,-0.00152
0,0.00066,-0.00029,0.00053,-0.00088,0.00167,-0.00105,1e-005,-0.00121,-0.0002,-0.00136,-0.00092,-0.00096,-0.00076,-0.00179,-0.00123,-0.00025,0.00011,-0.00104,-0.001,0.00016,0.00016,-0.00045,-0.00023
0,0.00255,-0.00017,0.00089,-0.00033,0.0006800000000000001,-0.00048,-4e-005,-8.000000000000001e-005,0.00012,-0.00091,-0.00035,0.00063,0.00099,-0.00016,-0.00012,0.00104,0.00104,0.00043,0.00065,0.00108,0.00136,0.0005,0.00107
0,0.00101,-0.00015,0.00029,0.00025,0.00045,-0.00058,-2e-005,0.00096,0.00132,0.00017,0.00021,0.00137,0.00137,0.00076,0.00098,0.00141,0.00169,0.00083,0.0014,0.00157,0.00163,0.00141,0.00144
0,0.0002,-0.00083,-0.00027,0.00071,0.00107,-8.000000000000001e-005,-4e-005,0.00112,0.00112,0.00051,0.00073,0.00116,0.00144,0.00058,0.00115,0.00132,0.00138,0.00116,0.00119,0.00117,0.00153,0.00104,0.00131
0,0.00036,-0.00079,-0.00075,0.00041,0.00041,-0.0002,2e-005,0.00045,0.00073,-0.00013,0.00044,0.00061,0.00067,0.00045,0.00048,0.00046,0.00082,0.00033,0.0006,0.0008,0.00095,0.00029,0.00045
0,0,-0.00061,-0.00039,4e-005,0.00032,-0.00054,3e-005,0.0002,0.00026,4e-005,6.999999999999999e-005,5e-005,0.00041,-8.000000000000001e-005,0.00019,0.00039,0.00054,-0.00012,4e-005,0.00039,0.00062,0.00023,0.00049
0,0.00028,-0.00058,-1e-005,0.00016,0.00022,0,3e-005,1e-005,0.00037,-0.00012,0.00015,0.00035,0.0005,-0.00016,0,0.00035,0.00058,0.00019,0.00045,0.00019,0.00037,3e-005,0.00025
0,6e-005,-0.00016,-0.00013,-0.00015,0.00021,-0.00028,-1e-005,0.00019,0.00034,-0.00032,-0.00016,0.00019,0.00042,3e-005,0.00029,3e-005,0.00021,-0.00013,9.000000000000001e-005,0.0002,0.00036,-6.999999999999999e-005,4e-005
0,0.00036,-0.00013,0.00014,0.00034,0.00049,-0.00017,-1e-005,0.00034,0.00057,0.00018,0.00044,0.00018,0.00036,2e-005,0.00024,0.00035,0.00051,8.000000000000001e-005,0.00019,0.00029,0.00041,9.000000000000001e-005,0.00036
